CKS1B
CKS1BP7
CKS2
CLASP1
CLASRP
CLCA1
CLCA2
CLCF1
CLCN1
CLCN3
CLCN7
CLDN12
CLDN2
CLDN7
CLDN8
CLDND2
CLEC18A
CLEC1B
CLEC3B
CLEC4F
CLEC4G
CLEC7A
CLIC3
CLINT1
CLIP2
CLIP4
CLK1
CLK2
CLK3
CLK4
CLNK
CLNS1A
CLPB
CLSPN
CLSTN1
CLTA
CLTB
CLTC
CLU
CLUAP1
CMTM2
CMTM3
CMTM5
CMTM6
CNGB1
CNKSR1
CNKSR2
CNKSR3
CNN1
CNNM3
CNO
CNOT1
CNOT2
CNOT3
CNOT4
CNOT6
CNOT6L
CNOT7
CNOT8
CNPY3
CNPY4
CNST
CNTF
CNTFR
CNTN1
CNTN2
CNTNAP1
CNTNAP2
CNTNAP4
CNTRL
CNTROB
COASY
COBL
COBLL1
COBRA1
COG4
COG5
COG6
COG7
COG8
COIL
COL10A1
COL11A2
COL17A1
COL1A1
COL1A2
COL20A1
COL23A1
COL24A1
COL2A1
COL4A1
COL4A2
COL4A3
COL4A3BP
COL4A5
COL6A1
COL7A1
COL8A1
COL8A2
COL9A2
COLEC12
COMMD1
COMMD3
COMMD6
COMMD8
COMP
COMT
COMTD1
COPA
COPB1
COPB2
COPE
COPG
COPS2
COPS3
COPS4
COPS5
COPS6
COPS7A
COPS7B
COPS8
COPZ1
COPZ2
COQ6
COQ7
CORO1A
CORO1B
CORO2A
CORO2B
CORO6
CORT
COX1
COX17
COX2
COX4I1
COX4I2
COX4NB
COX5A
COX5B
COX6A1
COX6B2
COX6C
COX7A2L
COX8A
CP
CPA4
CPAMD8
CPE
CPLX1
CPN1
CPNE2
CPNE3
CPNE6
CPNE7
CPSF1
CPSF2
CPSF3L
CPSF4
CPSF6
CPSF7
CPT1A
CPXM1
CPXM2
CR1
CR2
CRABP1
CRABP2
CRADD
CRAMP1L
CRB3
CRBN
CRCP
CRCT1
CREB1
CREB3
CREB3L1
CREB3L3
CREB3L4
CREB5
CREBBP
CREBZF
CRELD1
CRELD2
CREM
CRIM1
CRIP1
CRIP2
CRIPT
CRK
CRKL
CRLF3
CRMP1
CRNKL1
CROCCP2
CRP
CRTAC1
CRTC1
CRTC2
CRTC3
CRX
CRY1
CRY2
CRYAA
CRYAB
CRYBA1
CRYBA2
CRYBA4
CRYBB1
CRYBB3
CRYGA
CRYGC
CRYM
CSAD
CSDC2
CSDE1
CSE1L
CSF1
CSF1R
CSF2
CSF2RA
CSF2RB
CSF3R
CSGALNACT2
CSH1
CSH2
CSK
CSMD2
CSN1S1
CSN2
CSN3
CSNK1A1
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK2A1
CSNK2A2
CSNK2B
CSPG4
CSPP1
CSRNP1
CSRNP2
CSRP2
CSRP2BP
CSRP3
CST1
CST2
CST3
CST6
CST7
CST9L
CSTA
CSTB
CSTF1
CSTF2
CSTF2T
CT45A3
CT45A5
